model,parameters,best_epoch,validation_mIoU,test_loss,test_pixel_accuracy,test_mIoU,test_foreground_mIoU,test_macro_precision,test_macro_recall,test_macro_f1
ResNet50-FCN,32999079,25,0.14546170832696997,1.7379144430160522,0.625927734375,0.11776390892689927,0.11115712872851133,0.25229104614442327,0.1757892460602689,0.1895880882501558
VGG16-FCN,15921063,29,0.0939855116426583,2.8676979541778564,0.5896390869140625,0.06929513096760218,0.06251053016162322,0.1592569306188463,0.09914345061395542,0.11281331144342083
