epoch,train_loss,val_loss,train_pixel_accuracy,train_mean_class_accuracy,train_mean_iou,train_foreground_mean_iou,train_macro_precision,train_macro_recall,train_macro_f1,train_present_classes,val_pixel_accuracy,val_mean_class_accuracy,val_mean_iou,val_foreground_mean_iou,val_macro_precision,val_macro_recall,val_macro_f1,val_present_classes,epoch_seconds
1,2.4014984957377115,2.2224757497310637,0.5728453531901042,0.010274324930391135,0.0061640136188968525,0.00047680562391637593,0.0049101462969051,0.0006782903096169596,0.0009385527822114687,103,0.5810408040364583,0.010175596811026316,0.0060399369405589355,0.00023014403389142487,0.0038542457159348254,0.0004915878903006553,0.00045019685838505025,103,2983.7254338264465
2,2.248185267130534,2.161881191253662,0.5794052571614583,0.011661750162511145,0.006988842008632274,0.0010967073283959406,0.005014340282509433,0.0020162314747321003,0.002104054812607009,103,0.580455712890625,0.011853641767339544,0.007136809736040911,0.0011460710245405057,0.0031981930643245502,0.0022468031136431026,0.0022090888210742564,103,2997.003229856491
3,2.18961003557841,2.0576209099292755,0.5812491427951388,0.014638136595534784,0.008735292319640833,0.00269287019858799,0.017293852063178027,0.005048407410611274,0.00513328195263706,103,0.584545751953125,0.02285014319003913,0.011911494097173658,0.005443293280462653,0.019277326640891945,0.013410141724058503,0.009982994098531317,103,2944.5396251678467
4,2.1297921017011006,1.999675179719925,0.5828133273654514,0.01834491840476882,0.01082905250514945,0.004724711192634746,0.01921429536945038,0.008807337989630687,0.008935964181842806,103,0.588664892578125,0.025898330552991677,0.011525116703905753,0.005178898571203648,0.01293546647390984,0.016486081615120156,0.009376994281048254,103,2938.5888776779175
5,2.0773361630042393,1.9342501721382142,0.5848396538628472,0.022655465211080927,0.013239372077021763,0.0069830649250615705,0.03200615798473278,0.013178192209905312,0.01309883904409454,103,0.5942338704427084,0.04339102781993152,0.023535814182947378,0.017215434229775006,0.04386670868580019,0.034165963680761836,0.030876298186374978,103,2934.3491628170013
6,2.0208139607111613,1.9022702300548553,0.58867236328125,0.031617173790997544,0.01894358035546009,0.01258743461969173,0.04853031010621694,0.02224448920751333,0.023287210234687755,103,0.5945431803385417,0.05418398893746496,0.028711051443494038,0.022146634077543893,0.07150732851611452,0.045188957982550536,0.039464455369561995,103,2903.3835155963898
7,1.962007551074028,1.9210249881744386,0.5913782443576389,0.03898465564195049,0.023019993036145953,0.016560772070791426,0.053265459120944124,0.029706648796973982,0.03085163318651745,103,0.5975672200520833,0.05244453644039628,0.02848913165347629,0.022141617557882493,0.10372963521965006,0.043335995984819874,0.03990301457569517,103,2507.1926548480988
8,1.9135841262340545,1.8489931366443635,0.5951914822048611,0.0492760231441308,0.029450710027595393,0.022939893924534254,0.08144761832805654,0.04011436424214003,0.04220966988561961,103,0.6006593424479166,0.06418444718975937,0.03670286484482374,0.030243832886422198,0.11242451041640149,0.05523612288118453,0.05268756120612457,103,2880.4513442516327
9,1.868266205072403,1.7692468143701554,0.5986877224392361,0.0582088345104089,0.03530528087365122,0.02875511205160559,0.0981334123342603,0.04914435455184571,0.0525431117999545,103,0.6061234700520833,0.077514099127757,0.04441097762627741,0.03784583814610801,0.1382866367102533,0.06870934874077467,0.06643128590845081,103,2876.085695505142
10,1.809063672443231,1.7515146114826203,0.6040741807725695,0.0716431349415816,0.044295178459094545,0.03773551526520776,0.1069156475440805,0.0627203509713733,0.06841590313946043,103,0.6118100748697917,0.1005386233845863,0.0528711907439205,0.046135761722657875,0.14743333833475858,0.09198202041300689,0.07908449715444055,103,2868.3584489822388
11,1.7477215779423714,1.734994934797287,0.6110655164930555,0.08922516735185525,0.056029882128866004,0.04945636151370243,0.13194966475986725,0.08049502240058293,0.08865573639324453,103,0.6112697591145834,0.1052623476125096,0.05883668753321941,0.05227503888095974,0.16961856695301386,0.09683961037169216,0.09029775180593189,103,2831.268541097641
12,1.6983096944888434,1.744064483165741,0.616069517686632,0.10202552811536748,0.06479414948399408,0.05823741508509329,0.1453459818550884,0.09343447992805404,0.10323098285114118,103,0.6145482421875,0.10330524638663781,0.05990726307442589,0.05331973979271278,0.14464701431524,0.09477420880439298,0.09125989320950485,103,2845.4264578819275
13,1.6489865177671115,1.6553258051872253,0.6238706705729167,0.12161209218970655,0.07793215390827989,0.07142410801028416,0.17725450833115738,0.11322288793695284,0.12521860706452032,103,0.62230107421875,0.12530781988905126,0.07311495893804089,0.06652787423345279,0.20916253296119985,0.1170452963911834,0.11353550479514053,103,2823.1294782161713
14,1.6036935830314953,1.6433819715976714,0.6307916232638889,0.13775098549105944,0.0886970854696259,0.08219427492976515,0.19350273827777734,0.12952812699245883,0.1423098454703817,103,0.6265892252604167,0.13694431875276142,0.08335172631899901,0.07690924976223537,0.21763758929667518,0.1287806924101957,0.1301757671581916,103,2826.2070682048798
15,1.5465928459564844,1.6025594934225083,0.6365562120225694,0.15260446928876847,0.10039301580214476,0.09394755484981493,0.2199353428364978,0.14453196342734945,0.16157346790294944,103,0.631256396484375,0.1538525341748076,0.08951851828497746,0.08292328592383644,0.21198123094301938,0.1459325165632477,0.13904755784878298,103,2808.8987855911255
16,1.4871281183362006,1.6792123659849167,0.6453023952907986,0.17625901719373013,0.11591830933360912,0.10953617254253245,0.24982577655354485,0.16843810216696148,0.1862861160353211,103,0.6237681803385416,0.14251655356336027,0.08525366020135929,0.07850225335256683,0.2187633207010211,0.13449151834938178,0.13081982016105975,103,2813.275386095047
17,1.445170942803224,1.5949149000644685,0.6524157552083333,0.19312331351402287,0.12911394450076247,0.12280150593649168,0.27104377147372444,0.18547224862952794,0.20751246618793118,103,0.6362796223958334,0.17418726117170705,0.10496391739914858,0.09852244477930587,0.23847775296357418,0.16644805817174746,0.16299307094761634,103,2794.4584424495697
18,1.3801765881081423,1.6175104278326033,0.6608697455512152,0.21570543161259242,0.144129454904437,0.1379092579135968,0.29204944238833974,0.20829047869242523,0.230211820729083,103,0.6278332845052084,0.1562394428865824,0.09485446402205133,0.08803600956221591,0.23979677328627427,0.14847340023585856,0.14822483511566248,103,2417.7280974388123
19,1.3323477593461672,1.5241971210241319,0.6707580837673611,0.24125001507711713,0.16392356760299662,0.1578291943034551,0.32223076815975604,0.23409414722634403,0.2597173915272924,103,0.6384619791666667,0.17603586360916348,0.11169346693352149,0.10522553764913524,0.27473128684425413,0.16833127789509994,0.17323341391321384,103,2415.5336389541626
20,1.2651942575176558,1.584964404284954,0.6821937065972222,0.26595487828263176,0.1831772796579463,0.1771995959238112,0.35624368911443427,0.2590419447345235,0.2881268902321896,103,0.63616171875,0.17882448266794254,0.10680867872372636,0.10011711210589536,0.25235061889668287,0.1712171100850714,0.16723059025905773,103,2421.6106350421906
21,1.2136666422983011,1.4932319836616517,0.6906906195746528,0.2919077785292973,0.20274255303809208,0.19689292983243836,0.38296536029008493,0.28526944051520686,0.3160488900205366,103,0.644668310546875,0.20341458545060026,0.1260089383501683,0.11939871393849538,0.26449121329873154,0.19611093624098333,0.19982394851345778,103,2401.261467218399
22,1.1528861319919428,1.6458264492750168,0.7024199435763889,0.3199537229946833,0.2258210725181971,0.22014630606061936,0.4091273570777691,0.31359146428918466,0.34572456272267155,103,0.63659853515625,0.18355615479982104,0.11642241990294766,0.10991973029653476,0.25715228785074484,0.1760057039307433,0.18129509911846636,103,2409.9893600940704
23,1.0981435775756836,1.589487910270691,0.7149810194227431,0.3472881701314551,0.24758542942577377,0.24206114256240943,0.44353243592483055,0.34120207243714157,0.37637283100669094,103,0.643304833984375,0.19420310345544034,0.12251489984571975,0.11621366246370929,0.2780818309075192,0.186646863785034,0.1915495376530443,103,2780.645805835724
24,1.043262004852295,1.5790616273880005,0.7265847710503472,0.3791569306140533,0.27366025134683586,0.2683492953688766,0.478619852005433,0.37338613936450943,0.41008125935938944,103,0.649087255859375,0.22610985595501884,0.1372088850551826,0.13074423059966547,0.27009186691860404,0.2190310078012259,0.21524816773376196,103,2406.557698726654
25,0.9735088348388672,1.5640227794647217,0.7416621283637153,0.41641116397557876,0.3063623112934817,0.3012944948722729,0.5157717852848254,0.4110127496785737,0.4497639014905168,103,0.6508534016927083,0.22649614550222297,0.14546170832696997,0.1390749404977921,0.28133397013280687,0.21940783523432517,0.2250102696975451,103,2394.213969707489
26,0.9065592288970947,1.587807536125183,0.7547101996527777,0.4484218912941761,0.3353142023756194,0.33047790621602563,0.5443737215994232,0.44334937687349696,0.48211672947572765,103,0.6480635091145833,0.2098182881156021,0.1372490202558839,0.1308798675299767,0.2775941061307895,0.2025069540509627,0.21249942360154822,103,2390.416247844696
27,0.8518492579460144,1.622743844985962,0.7697814615885417,0.48673477118457176,0.37012829387135526,0.3655843283238474,0.5892683446119242,0.48203580460998585,0.5240546906111421,103,0.6465294596354166,0.22566192838122104,0.14063508792435772,0.13413575806672562,0.2816406594449878,0.2186200954855143,0.22089516081597585,103,2396.187618494034
28,0.8177343606948853,1.6358593702316284,0.7774100368923611,0.5041318077946635,0.38596647725398725,0.38154611937278204,0.6035251262726778,0.49961482311942396,0.541392374310808,103,0.6414252604166667,0.21132299677427352,0.13394912590587194,0.12753891867523243,0.28370775048495517,0.20412317214456296,0.21156651801481793,103,2391.290362596512
29,0.7565479874610901,1.629273772239685,0.7924051595052083,0.5428937486204239,0.42379919425635854,0.41969522782642416,0.6429157625642844,0.5387629628525283,0.5812816270744524,103,0.647156494140625,0.23838379718444044,0.14420574538936473,0.13770780720925724,0.2581270124007988,0.23152347997160863,0.2259883162530679,103,2390.579855442047
30,0.7025404572486877,1.7682617902755737,0.8055623480902778,0.5737791049982583,0.45392050531703093,0.45004146345026586,0.6687995357739926,0.5699436511855519,0.6113945662764224,103,0.6375795572916667,0.20817700565405334,0.12395496880653721,0.11727915166389716,0.25376610711891656,0.2009839302132213,0.1942525422556053,103,2391.9064440727234
