epoch,train_loss,val_loss,train_pixel_accuracy,train_mean_class_accuracy,train_mean_iou,train_foreground_mean_iou,train_macro_precision,train_macro_recall,train_macro_f1,train_present_classes,val_pixel_accuracy,val_mean_class_accuracy,val_mean_iou,val_foreground_mean_iou,val_macro_precision,val_macro_recall,val_macro_f1,val_present_classes,epoch_seconds
1,2.4538257910807926,2.269788003444672,0.5774961697048611,0.00978185047209174,0.005689727281962327,8.280633982403167e-05,0.0021919406398021326,8.530855853164229e-05,0.00016422558980832143,103,0.5808875325520834,0.009708737864077669,0.0056396847820590615,0.0,0.0,0.0,0.0,103,2586.755360841751
2,2.2808243480126063,2.209237136363983,0.5782153618706597,0.009763652213360416,0.005674789420196221,5.3242153577991554e-05,0.0008144072511766387,5.663725355508494e-05,0.00010590914639016634,103,0.580941064453125,0.009833281545282152,0.005772501338040391,0.00011435018396985679,0.0008254311385474819,0.00013096584241339797,0.00022606362539018303,103,2594.9234886169434
3,2.2169582908948264,2.140838672399521,0.5787336724175347,0.010329981331420794,0.00608021880121494,0.0003587378615289008,0.000745037975877374,0.0006462714999962577,0.0006921491135853935,103,0.5810896158854166,0.010725816620272628,0.0062798954015444095,0.00045957332795413413,0.0007426326434617699,0.0010736865348267364,0.0008779895947132197,103,2559.5850784778595
4,2.1656306365728377,2.105955267429352,0.579103968641493,0.010968209761352125,0.006405414613573434,0.000624548184938545,0.002352126391300903,0.0013120981772472787,0.0011894007086000475,103,0.5812584147135417,0.011061429284549585,0.0064262641681159935,0.0005973043604516827,0.002042145202140728,0.0014256654510057497,0.0011293402509214485,103,2549.5586478710175
5,2.123530238389969,2.0773009290695192,0.5805594373914931,0.013265530708362536,0.007997868744897422,0.0021203544315114044,0.0058480095916220365,0.003649739611836961,0.00406402041459242,103,0.5821914713541667,0.012702400247545249,0.007824648754325694,0.0019704925667761893,0.009745140138697556,0.0030891237449691277,0.0037766267210497142,103,2544.8027579784393
6,2.0796539223194124,2.013478332042694,0.5824330891927083,0.017478962013187577,0.010153925686121328,0.004110775606657156,0.015140298334513821,0.007925493518755156,0.007790383373448463,103,0.587736328125,0.023390103861721964,0.012459047369660244,0.006321163352617724,0.029662081979692563,0.01393108721790413,0.01159906927629095,103,2528.574637889862
7,2.041835369785627,1.9936054155826568,0.5852231608072916,0.02320550792733002,0.01260248154124213,0.006430325208958376,0.020573462002970923,0.013722951382746035,0.012106700627824457,103,0.5886308430989583,0.02490216772308577,0.013534036502369716,0.0073503476530339,0.026936801345660448,0.015423160199306509,0.013537016677386009,103,2520.9720232486725
8,1.9880060680707297,1.9770042662620544,0.5872939534505208,0.028233149765741188,0.015979763107205173,0.009706590870646695,0.029279635655291382,0.018823077489524418,0.01808781993090982,103,0.587257373046875,0.02732022125336004,0.014182234012759797,0.00802472890423672,0.03512205588556659,0.01789626435443731,0.01496118115139137,103,2581.8210124969482
9,1.9475107708772024,1.9221958787441253,0.5882842122395834,0.032461807400108775,0.019159362514154836,0.012898966933394557,0.046709419624343974,0.023096193801381296,0.024026441946159834,103,0.5938218587239583,0.039213386042674804,0.021314666654084012,0.014941404629065264,0.04682813927356413,0.029959826611302837,0.02671731903463586,103,2551.715405702591
10,1.898985671321551,1.9108377948999404,0.5915205837673612,0.04019821592934463,0.024197536173954048,0.017848459397421683,0.08095728240490056,0.03093666052103679,0.032819518803374303,103,0.595218017578125,0.0506419479502063,0.027013501120177252,0.02054377931838981,0.06108364926211412,0.04152748749189588,0.0365230267719997,103,2882.992737531662
